ID	ERR	ERS	ST	Country	Source	Serotype	ermB	mefA	cat	Year	Country3	ermB_color	mefA_color	cat_color
11511_8#33	ERR425470	ERS356389	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11511_8#37	ERR425474	ERS356393	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11511_8#38	ERR425475	ERS356395	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11511_8#40	ERR425477	ERS356408	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11511_8#48	ERR425484	ERS356446	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11511_8#54	ERR425490	ERS356514	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11511_8#57	ERR425493	ERS356531	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11511_8#9	ERR425447	ERS356291	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11657_4#27	ERR433627	ERS356368	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11657_4#40	ERR433639	ERS356447	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11657_4#53	ERR433651	ERS356522	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11657_4#95	ERR433693	ERS356734	320	PE	Blood	19A	+	+	-	2011	Peru	#FFFF00	#FFFF00	#000000
11657_8#25	ERR433718	ERS356457	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11657_8#4	ERR433698	ERS356265	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11658_2#19	ERR433875	ERS356649	320	PE	Blood	19A	+	+	-	2008	Peru	#FFFF00	#FFFF00	#000000
11658_2#72	ERR433918	ERS356429	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11679_1#28	ERR433992	ERS356358	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11679_1#3	ERR433967	ERS356274	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11679_1#53	ERR434017	ERS356518	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
11893_8#15	ERR460201	ERS356384	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12162_1#15	ERR490719	ERS390750	320	ZA	Blood	19A	+	+	-	2012	South Africa	#FFFF00	#FFFF00	#000000
12291_4#13	ERR505730	ERS394139	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#16	ERR505733	ERS394142	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#27	ERR505744	ERS394153	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#38	ERR505753	ERS394164	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#53	ERR505766	ERS394179	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#58	ERR505771	ERS394184	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#61	ERR505774	ERS394187	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#65	ERR505778	ERS394191	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#66	ERR505779	ERS394192	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#69	ERR505782	ERS394195	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#82	ERR505794	ERS394208	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#88	ERR505800	ERS394214	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#89	ERR505801	ERS394215	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_5#45	ERR505847	ERS394261	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#38	ERR506019	ERS394344	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#41	ERR506022	ERS394347	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#43	ERR506024	ERS394349	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#48	ERR506028	ERS394354	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#57	ERR506035	ERS394363	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#6	ERR505992	ERS394312	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#61	ERR506039	ERS394367	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#7	ERR505993	ERS394313	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#70	ERR506048	ERS394376	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12299_1#8	ERR505994	ERS394314	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13091_6#81	ERR578022	ERS437289	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13154_2#17	ERR586316	ERS437337	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13154_2#18	ERR586317	ERS437343	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13154_3#43	ERR586414	ERS437347	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13154_3#44	ERR586415	ERS437348	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13154_3#75	ERR586445	ERS437379	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13154_3#78	ERR586448	ERS437382	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13154_3#88	ERR586456	ERS437392	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13353_7#15	ERR596386	ERS455296	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13414_1#36	ERR600106	ERS455026	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13414_2#15	ERR600156	ERS455106	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13414_2#20	ERR600159	ERS455111	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13414_2#63	ERR600196	ERS455154	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13414_2#67	ERR600200	ERS455158	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13414_3#16	ERR600237	ERS455202	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13414_3#95	ERR600282	ERS455281	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13710_1#45	ERR662361	ERS455374	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13710_2#34	ERR662422	ERS455242	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
13710_2#58	ERR662446	ERS455379	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
14673_1#2	ERR742335	ERS558021	320	US	Blood	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
14673_1#48	ERR742373	ERS558067	320	US	Blood	19A	+	+	-	2006	USA	#FFFF00	#FFFF00	#000000
14673_1#62	ERR742387	ERS558081	320	US	Blood	19A	+	+	-	2007	USA	#FFFF00	#FFFF00	#000000
14673_1#67	ERR742392	ERS558086	320	US	Blood	19A	+	+	-	2007	USA	#FFFF00	#FFFF00	#000000
14673_1#81	ERR742406	ERS558100	320	US	Blood	19A	+	+	-	2008	USA	#FFFF00	#FFFF00	#000000
14673_1#82	ERR742407	ERS558101	320	US	Blood	19A	+	+	-	2008	USA	#FFFF00	#FFFF00	#000000
14673_1#86	ERR742411	ERS558105	320	US	Blood	19A	+	+	-	2008	USA	#FFFF00	#FFFF00	#000000
14673_2#29	ERR742447	ERS558143	320	US	Blood	19A	+	+	-	2004	USA	#FFFF00	#FFFF00	#000000
14673_2#34	ERR742451	ERS558148	320	US	Blood	19A	+	+	-	2004	USA	#FFFF00	#FFFF00	#000000
14673_2#76	ERR742488	ERS558190	320	US	Blood	19A	+	+	-	2005	USA	#FFFF00	#FFFF00	#000000
14673_2#88	ERR742498	ERS558202	320	US	Blood	19A	+	+	-	2006	USA	#FFFF00	#FFFF00	#000000
14673_3#43	ERR742545	ERS558252	320	US	Blood	19A	+	+	-	2008	USA	#FFFF00	#FFFF00	#000000
14673_3#5	ERR742508	ERS558214	320	US	Blood	19A	+	+	-	2008	USA	#FFFF00	#FFFF00	#000000
14673_3#7	ERR742510	ERS558216	320	US	Blood	19A	+	+	-	2007	USA	#FFFF00	#FFFF00	#000000
14673_3#71	ERR742572	ERS558280	320	US	Blood	19A	+	+	-	2006	USA	#FFFF00	#FFFF00	#000000
14673_3#8	ERR742511	ERS558217	320	US	Blood	19A	+	+	-	2008	USA	#FFFF00	#FFFF00	#000000
14673_4#19	ERR742615	ERS558323	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
14673_4#20	ERR742616	ERS558324	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
14673_4#30	ERR742626	ERS558334	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
14673_4#32	ERR742628	ERS558336	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
14723_6#67	ERR751168	ERS559074	320	TT	Blood	19A	+	+	-	2011	Trinidad and Tobago	#FFFF00	#FFFF00	#000000
14723_6#68	ERR751169	ERS559075	320	TT	Blood	19A	+	+	-	2011	Trinidad and Tobago	#FFFF00	#FFFF00	#000000
15277_1#17	ERR845750	ERS558168	320	US	Blood	19A	+	+	-	2005	USA	#FFFF00	#FFFF00	#000000
15608_3#47	ERR876572	ERS628748	320	SK	blood	19A	+	+	-	2012	Slovenia	#FFFF00	#FFFF00	#000000
15608_3#66	ERR876591	ERS628767	320	SK	blood	19A	+	+	-	2013	Slovenia	#FFFF00	#FFFF00	#000000
15682_1#81	ERR884379	ERS629032	320	PL	blood	19A	+	+	-	2011	Poland	#FFFF00	#FFFF00	#000000
15682_2#1	ERR884394	ERS629064	320	PL	blood	19A	+	+	-	2011	Poland	#FFFF00	#FFFF00	#000000
15682_2#13	ERR884406	ERS629076	320	PL	blood	19A	+	+	-	2012	Poland	#FFFF00	#FFFF00	#000000
15682_2#27	ERR884420	ERS629090	320	PL	blood	19F	+	+	-	2012	Poland	#FFFF00	#FFFF00	#000000
15682_2#55	ERR884448	ERS629118	320	PL	blood	19A	+	+	-	2013	Poland	#FFFF00	#FFFF00	#000000
15682_2#67	ERR884460	ERS629130	320	PL	blood	19A	+	+	-	2013	Poland	#FFFF00	#FFFF00	#000000
15682_2#74	ERR884467	ERS629137	320	PL	blood	19A	+	+	-	2013	Poland	#FFFF00	#FFFF00	#000000
19084_7#43	ERR1422372	ERS1021345	320	QA	Blood	19A	+	+	-	2012	Qatar	#FFFF00	#FFFF00	#000000
19084_7#77	ERR1422406	ERS1021379	320	PE	Blood	19A	+	+	-	2006	Peru	#FFFF00	#FFFF00	#000000
19084_8#135	ERR1422648	ERS1021621	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
19084_8#176	ERR1422689	ERS1021662	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
19084_8#178	ERR1422691	ERS1021664	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
20925_3#66	ERR1756451	ERS1207594	320	IN	Blood	19A	+	+	-	2014	India	#FFFF00	#FFFF00	#000000
21999_7#162	ERR2089424	ERS1813707	320	BR	Blood	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_7#173	ERR2089435	ERS1813718	320	BR	Blood	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_8#109	ERR2089554	ERS1813839	320	BR	Blood	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
21999_8#40	ERR2089485	ERS1813767	320	BR	Blood	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
22841_1#119	ERR2090660	ERS1699398	320	IL	blood	19A	+	+	-	2013	Israel	#FFFF00	#FFFF00	#000000
22841_1#24	ERR2090565	ERS1699110	320	IL	blood	19A	+	+	-	2010	Israel	#FFFF00	#FFFF00	#000000
12291_4#15	ERR505732	ERS394141	320	US	CSF	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13710_1#33	ERR662349	ERS455355	320	US	CSF	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
15608_5#73	ERR876770	ERS629013	320	PL	CSF	19F	+	+	-	2007	Poland	#FFFF00	#FFFF00	#000000
15682_1#50	ERR884348	ERS628988	320	PL	CSF	19F	+	+	-	2010	Poland	#FFFF00	#FFFF00	#000000
15682_1#67	ERR884365	ERS629012	320	PL	CSF	19F	+	+	-	2010	Poland	#FFFF00	#FFFF00	#000000
15682_2#64	ERR884457	ERS629127	320	PL	CSF	19F	+	+	-	2013	Poland	#FFFF00	#FFFF00	#000000
15682_2#68	ERR884461	ERS629131	320	PL	CSF	19F	+	+	-	2013	Poland	#FFFF00	#FFFF00	#000000
21053_8#169	ERR1788180	ERS1299372	320	RU	CSF	19A	+	+	-	2014	Russian Federation	#FFFF00	#FFFF00	#000000
21127_1#27	ERR1788226	ERS1299650	320	BY	CSF	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#78	ERR1788276	ERS1299783	320	BY	CSF	19F	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21999_8#83	ERR2089528	ERS1813815	320	BR	CSF	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
21999_8#86	ERR2089531	ERS1813818	320	BR	CSF	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
19084_8#44	ERR1422557	ERS1021530	320	PE	CSF	19A	+	+	-	2010	Peru	#FFFF00	#FFFF00	#000000
21127_1#29	ERR1788228	ERS1299777	320	BY	Ear	19A	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#30	ERR1788229	ERS1299397	320	BY	Ear	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#39	ERR1788237	ERS1299401	320	BY	Ear	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#41	ERR1788239	ERS1299402	320	BY	Ear	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#42	ERR1788240	ERS1299841	320	BY	Ear	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#79	ERR1788277	ERS1299421	320	BY	Ear	19A	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#80	ERR1788278	ERS1299663	320	BY	Ear	19A	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#81	ERR1788279	ERS1299422	320	BY	Ear	19F	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#87	ERR1788285	ERS1299425	320	BY	Ear	19F	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#95	ERR1788293	ERS1299429	320	BY	Ear	19F	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#99	ERR1788297	ERS1299431	320	BY	Ear	19A	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
13414_4#42	ERR600308	ERS455418	320	US	N/A	19A	+	+	-	N/A	USA	#FFFF00	#FFFF00	#000000
18090_2#154	ERR1214662	ERS740899	320	CN	N/A	19F	+	+	-	2001	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#112	ERR1453760	ERS1021226	320	CN	N/A	19A	+	+	-	2009	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#113	ERR1453761	ERS1021227	320	CN	N/A	19A	+	+	-	2009	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#114	ERR1453762	ERS1021228	320	CN	N/A	19A	+	+	-	2009	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#14	ERR1453662	ERS1021097	320	CN	N/A	19A	+	+	-	2011	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#45	ERR1453693	ERS1021147	320	CN	N/A	19A	+	+	-	2012	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#51	ERR1453699	ERS1021159	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#108	ERR2667136	ERS2553078	320	CN	N/A	19A	+	+	-	2014	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#110	ERR2667138	ERS2553080	320	CN	N/A	19A	+	+	-	2014	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#58	ERR2667086	ERS2553023	320	CN	N/A	19A	+	+	-	2012	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#59	ERR2667087	ERS2553024	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#61	ERR2667089	ERS2553026	320	CN	N/A	19A	+	+	-	2011	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#62	ERR2667090	ERS2553027	320	CN	N/A	19A	+	-	-	2011	Hong Kong	#FFFF00	#000000	#000000
24775_1#65	ERR2667093	ERS2553030	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#66	ERR2667094	ERS2553032	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#71	ERR2667099	ERS2553039	320	CN	N/A	19A	+	+	-	2011	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#76	ERR2667104	ERS2553044	320	CN	N/A	19A	+	+	-	2011	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#85	ERR2667113	ERS2553053	320	CN	N/A	19A	+	+	-	2012	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#89	ERR2667117	ERS2553058	320	CN	N/A	19F	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#93	ERR2667121	ERS2553062	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
24775_1#95	ERR2667123	ERS2553064	320	CN	N/A	19A	+	+	-	2013	Hong Kong	#FFFF00	#FFFF00	#000000
12291_1#59	ERR505517	ERS393912	320	PE	Other	19F	+	+	-	2007	Peru	#FFFF00	#FFFF00	#000000
19084_7#177	ERR1422506	ERS1021479	320	PE	Other	19A	+	+	-	2009	Peru	#FFFF00	#FFFF00	#000000
11657_8#14	ERR433707	ERS356365	320	US	Other	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#74	ERR505786	ERS394200	320	US	Other	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
14673_1#84	ERR742409	ERS558103	320	US	Other	19A	+	+	-	2008	USA	#FFFF00	#FFFF00	#000000
17794_8#138	ERR1192149	ERS725002	320	MA	Other	19A	+	+	-	2015	Morocco	#FFFF00	#FFFF00	#000000
20925_3#61	ERR1756446	ERS1206000	320	IN	Other	19F	+	+	-	2015	India	#FFFF00	#FFFF00	#000000
20925_3#7	ERR1756392	ERS1205973	320	IN	Other	19A	+	+	-	2016	India	#FFFF00	#FFFF00	#000000
11511_8#59	ERR425495	ERS356537	320	US	Other	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
12291_4#33	ERR505748	ERS394159	320	US	Other	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
21242_2#153	ERR1795484	ERS1299825	320	BR	Other	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_7#110	ERR2089372	ERS1813654	320	BR	Other	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_7#176	ERR2089438	ERS1813720	320	BR	Other	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_8#115	ERR2089560	ERS1813846	320	BR	Other	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
21999_8#32	ERR2089477	ERS1813760	320	BR	Other	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
15608_4#65	ERR876683	ERS628859	320	TT	Other	19A	+	+	-	2013	Trinidad and Tobago	#FFFF00	#FFFF00	#000000